id,sumodb_id,nsk_id,ring_name,current_rank,heya,birthday,height,weight,debut,retirement,total_wins,total_losses,total_matches
5169,573,0,Daido Hisanori,,Takashima,1978-11-19T00:00:00Z,179.0,117.5,199403,1998-07-01T00:00:00Z,80,96,176
969,4109,0,Kotogatake Koichi,,Sadogatake,1952-09-24T00:00:00Z,186.0,105.0,196711,1984-03-01T00:00:00Z,493,472,965
1095,5050,0,Asahinada Haruichiro#,,Oshima,1962-01-06T00:00:00Z,176.0,78.0,198003,1987-05-01T00:00:00Z,146,148,294
1256,7744,0,Tamashuho#,,Kataonami,1957-07-25T00:00:00Z,180.0,100.0,197511,1983-03-01T00:00:00Z,135,155,290
7641,10788,0,Wakanomine,,-,0001-01-01T00:00:00Z,,,195603,1958-07-01T00:00:00Z,7,9,16
6356,1815,0,Ota,,Oshima,1972-08-16T00:00:00Z,175.0,77.0,198803,1989-03-01T00:00:00Z,17,18,35
5065,284,0,Chiyonomori Kazuhisa,,Kokonoe,1974-06-07T00:00:00Z,179.0,123.5,199301,2000-01-01T00:00:00Z,144,141,285
2712,8754,0,Hakujinyama#,,Dewanoumi,1945-03-22T00:00:00Z,,,196301,1967-01-01T00:00:00Z,70,91,161
783,7448,0,Wakatenzan Katsuhiro#,,Tatsutagawa,1962-06-30T00:00:00Z,174.3,124.0,197803,1986-01-01T00:00:00Z,151,157,308
8128,11384,0,Sekiguchi,,Nishonoseki,1940-12-16T00:00:00Z,,,196011,1965-11-01T00:00:00Z,100,103,203
299,7124,2983,Kayatoiwa,Sandanme 70 East,Minato,1991-07-13T00:00:00Z,176.0,103.5,200703,,337,347,684
389,6772,0,Akatsuki Taro,,Takadagawa,1989-05-24T00:00:00Z,178.5,144.6,200701,2023-01-01T00:00:00Z,312,322,634
3207,6489,0,Bariki Shigenobu,,Shikoroyama,1986-12-30T00:00:00Z,182.0,105.5,200503,2020-03-01T00:00:00Z,223,184,407
706,11862,0,Fukamiyama Tetsuya,,Onoe,1994-11-12T00:00:00Z,180.0,152.0,201003,2022-05-01T00:00:00Z,243,233,476
3043,5417,0,Kawasaki Yoshitsugu,,Dewanoumi,1942-08-07T00:00:00Z,,,195903,1962-11-01T00:00:00Z,75,63,138
4536,2920,0,Takeuchiyama Takuya,,Azumazeki,1987-06-24T00:00:00Z,170.0,95.5,200305,2008-09-01T00:00:00Z,109,113,222
2984,5662,0,Kotochikugo Ryosuke#,,Sadogatake,1942-11-20T00:00:00Z,,,196101,1965-07-01T00:00:00Z,97,89,186
4643,7161,0,Takeuchi Yuki,,Shikoroyama,1990-07-21T00:00:00Z,170.0,114.0,200703,2007-05-01T00:00:00Z,0,0,0
8805,11374,0,Sugawara,,-,0001-01-01T00:00:00Z,,,196007,1960-11-01T00:00:00Z,6,8,14
6165,1337,0,Tochitsukasa Tetsuo,,Kasugano,1958-04-25T00:00:00Z,180.0,142.0,198103,1992-05-01T00:00:00Z,465,448,913
6278,1856,0,Shofu,,Oguruma,1970-10-16T00:00:00Z,186.0,76.7,198703,1990-05-01T00:00:00Z,56,71,127
3504,1050,0,Wakadaiki Tsuyoshi,,Hanakago,1984-04-02T00:00:00Z,184.0,129.0,200003,2002-09-01T00:00:00Z,35,42,77
1510,6787,0,Raiko Mitsutoshi#,,Dewanoumi,1954-12-14T00:00:00Z,179.0,125.0,196905,1980-09-01T00:00:00Z,242,218,460
4706,769,0,Kirinobori Tomoyasu,,Michinoku,1975-04-27T00:00:00Z,178.0,106.0,199707,2005-01-01T00:00:00Z,130,154,284
2380,8645,0,Wakayutaka Shuken#,,Tokitsukaze,1951-02-18T00:00:00Z,189.4,99.5,196603,1970-07-01T00:00:00Z,54,58,112
8832,11089,0,Wakatsugaru,,-,0001-01-01T00:00:00Z,,,195805,1958-11-01T00:00:00Z,12,4,16
835,6728,0,Kitanishiki Yukihiro#,,Taiho,1960-04-23T00:00:00Z,175.4,73.0,197703,1980-05-01T00:00:00Z,59,67,126
36,11784,3206,Myogiryu,Juryo 8 West,Sakaigawa,1990-02-27T15:00:00Z,188.0,154.0,200905,,601,597,1198
4241,12150,0,Niina Ryota,,Azumazeki,1998-05-07T00:00:00Z,180.0,115.0,201403,2014-07-01T00:00:00Z,0,0,0
4812,1220,0,Azumaiwa Tsugunori,,Tamanoi,1983-02-16T00:00:00Z,183.0,114.0,200111,2002-09-01T00:00:00Z,9,12,21
6824,4996,0,Akimoto Hisao#,,Kasugano,1965-05-05T00:00:00Z,183.0,163.0,198403,1985-03-01T00:00:00Z,24,4,28
8321,11293,0,Onobori,,Oyama,1940-01-03T00:00:00Z,,,195907,1962-07-01T00:00:00Z,62,69,131
5509,1935,0,Fuunji,,Kitanoumi,1973-01-29T00:00:00Z,171.7,104.5,198805,1991-05-01T00:00:00Z,34,58,92
5875,2494,0,Chiba Masashi,,Minato,1977-03-24T00:00:00Z,170.0,81.4,199305,1996-05-01T00:00:00Z,58,51,109
6561,7311,0,Kogajo Yuji#,,Miyagino,1967-08-27T00:00:00Z,176.0,93.0,198307,1987-09-01T00:00:00Z,70,98,168
4493,11833,0,Seisho Shota,,Tokitsukaze,1991-05-29T00:00:00Z,178.0,145.0,201003,2010-07-01T00:00:00Z,0,1,1
5821,1808,0,Sakunoumi Koitaro,,Takasago,1969-11-10T00:00:00Z,188.4,131.5,198703,1995-11-01T00:00:00Z,175,182,357
5437,1763,0,Amagifuji Ryuji#,,Nakamura,1972-01-23T00:00:00Z,180.0,132.0,198703,1997-05-01T00:00:00Z,217,203,420
6717,7383,0,Hoshina,,Taiho,0001-01-01T00:00:00Z,,,198603,1987-01-01T00:00:00Z,13,15,28
3842,38,0,Toki Susumu,,Takasago,1974-07-04T00:00:00Z,189.5,170.4,199101,2006-05-01T00:00:00Z,511,518,1029
3836,18,0,Takatoriki Tadashige,,Futagoyama,1967-09-28T00:00:00Z,181.0,139.0,198303,2002-09-01T00:00:00Z,754,703,1457
1412,1469,0,Yohoyama Shinjiro,,Izutsu,1960-11-10T00:00:00Z,173.0,150.0,197905,1995-05-01T00:00:00Z,342,330,672
6874,1803,0,Hitachi,,Takasago,1966-12-16T00:00:00Z,172.0,93.0,198203,1983-03-01T00:00:00Z,11,10,21
8837,5668,0,Ikishima# Keiji,,Nishonoseki,0001-01-01T00:00:00Z,,,195803,1958-07-01T00:00:00Z,7,1,8
4844,1025,0,Ogawa Kazuo,,Naruto,1980-08-28T00:00:00Z,184.0,106.0,200003,2001-09-01T00:00:00Z,19,17,36
8785,11385,0,Sawada,,-,0001-01-01T00:00:00Z,,,196011,1961-07-01T00:00:00Z,8,6,14
6910,5394,0,Numazukuni,,Oshima,1963-02-21T00:00:00Z,174.0,86.0,198007,1980-09-01T00:00:00Z,0,1,1
3513,744,0,Kaitanaka Jun,,Tomozuna,1980-04-28T00:00:00Z,177.0,88.8,199603,2004-05-01T00:00:00Z,130,206,336
5855,1567,0,Oshimayama Hiroshi#,,Izutsu,1963-06-27T00:00:00Z,182.0,129.5,198203,1993-03-01T00:00:00Z,230,215,445
5189,234,0,Kotoasaki Taizo,,Sadogatake,1964-12-04T00:00:00Z,176.0,127.0,198203,1998-05-01T00:00:00Z,340,337,677
2206,6822,0,Ukunoshima,,Mihogaseki,1943-03-18T00:00:00Z,191.2,107.0,196007,1973-07-01T00:00:00Z,285,253,538
3193,7121,0,Tokushinho Motohisa,,Kise,1984-05-13T00:00:00Z,192.0,214.0,200703,2020-07-01T00:00:00Z,382,373,755
6716,7384,0,Terada,,Asahiyama,0001-01-01T00:00:00Z,,,198603,1987-11-01T00:00:00Z,12,17,29
3341,11722,0,Tokkoriki Kazuki,,Arashio,1986-02-17T00:00:00Z,174.5,107.5,200811,2018-01-01T00:00:00Z,173,166,339
930,6785,0,Shiunzan,,Tatsunami,1955-04-02T00:00:00Z,180.0,105.0,197009,1981-01-01T00:00:00Z,224,196,420
1438,7915,0,Tokitsukasa Iwataro#,,Tokitsukaze,1962-10-14T00:00:00Z,173.0,104.0,197803,1979-11-01T00:00:00Z,23,33,56
3146,12616,0,Shori Shori,,Tatsunami,2001-11-20T00:00:00Z,178.0,130.0,202003,2021-01-01T00:00:00Z,10,4,14
8328,11394,0,Takaya,,Nishonoseki,1944-07-01T00:00:00Z,,,196101,1964-05-01T00:00:00Z,67,59,126
6496,7192,0,Kotoho Isao#,,Sadogatake,1964-10-14T00:00:00Z,184.5,104.0,198107,1988-01-01T00:00:00Z,131,136,267
4630,1107,0,Teramoto Hajime,,Taiho,1980-11-12T00:00:00Z,171.0,102.5,200011,2001-07-01T00:00:00Z,7,15,22
3344,7119,0,Tochinohama Daiki,,Kasugano,1989-01-29T00:00:00Z,186.0,153.0,200703,2018-01-01T00:00:00Z,229,174,403
3828,116,0,Wakatsutomu Hiroki,,Matsugane,1973-02-13T00:00:00Z,172.0,159.5,199511,2006-07-01T00:00:00Z,275,243,518
2994,5505,0,Azumayama,,Tatsunami,1935-02-05T00:00:00Z,,,195501,1966-03-01T00:00:00Z,177,175,352
5698,2226,0,Wakainaba Daiju,,Matsugane,1975-07-06T00:00:00Z,181.0,94.2,199103,1995-11-01T00:00:00Z,75,114,189
3561,675,0,Fujinoshima Katsushi,,Isegahama,1980-12-25T00:00:00Z,183.0,123.0,199603,2003-09-01T00:00:00Z,136,151,287
3773,1043,0,Misugimori Tomonao,,Magaki,1984-07-23T00:00:00Z,174.0,77.0,200003,2004-09-01T00:00:00Z,49,49,98
5035,1002,0,Nagayama Manabu,,Magaki,1979-04-23T00:00:00Z,188.5,98.5,199909,2000-07-01T00:00:00Z,16,2,18
6167,2203,0,Kotokogure Ayumi,,Sadogatake,1975-07-16T00:00:00Z,194.0,95.0,199103,1992-07-01T00:00:00Z,18,24,42
4849,342,0,Masuhisashi Yuki,,Mihogaseki,1974-02-17T00:00:00Z,183.0,123.0,199111,2001-11-01T00:00:00Z,200,192,392
5830,2630,0,Kanazawa,,Futagoyama,1979-10-20T00:00:00Z,175.0,125.0,199503,1996-01-01T00:00:00Z,11,13,24
3578,714,0,Tochiakagi Toshio,,Kasugano,1979-05-31T00:00:00Z,183.5,100.0,199609,2003-01-01T00:00:00Z,122,130,252
6677,5006,0,Musashifuji,,Musashigawa,1968-06-05T00:00:00Z,180.5,79.0,198403,1986-09-01T00:00:00Z,44,61,105
7897,9000,0,Okunomura,,Tokitsukaze,1955-11-13T00:00:00Z,184.0,75.0,197107,1972-01-01T00:00:00Z,4,3,7
3185,12520,0,Ryuga,,Nishikido,1999-05-11T00:00:00Z,179.0,136.0,201809,2020-07-01T00:00:00Z,16,26,42
2212,8991,0,Osawa,,Takashima,1955-04-07T00:00:00Z,,,197105,1972-11-01T00:00:00Z,13,37,50
275,12327,3718,Oshozan,Sandanme 48 West,Naruto,2000-05-11T00:00:00Z,168.0,123.0,201603,,164,153,317
7195,2466,0,Tokunaga Yuji,,Matsugane,1975-04-25T00:00:00Z,177.5,105.0,199303,1993-09-01T00:00:00Z,0,0,0
3793,1033,0,Katsuhata Shohei,,Miyagino,1981-06-22T00:00:00Z,174.0,122.3,200003,2005-01-01T00:00:00Z,99,94,193
6664,7376,0,Tochinoshima,,Kasugano,1970-03-01T00:00:00Z,174.0,102.0,198503,1987-05-01T00:00:00Z,30,40,70
6484,7229,0,Fukunomori,,Tatsutagawa,0001-01-01T00:00:00Z,,,198701,1988-03-01T00:00:00Z,10,18,28
6752,7625,0,Mutsuwaka Hiroshi,,Ajigawa,1965-07-19T00:00:00Z,175.0,80.0,198403,1984-09-01T00:00:00Z,4,3,7
7098,1037,0,Sugiura Ryo,,Kokonoe,1984-06-12T00:00:00Z,181.0,123.0,200003,2000-05-01T00:00:00Z,0,0,0
614,12799,4190,Daitengu,Jonidan 67 East,Takadagawa,2004-06-17T00:00:00Z,177.0,93.0,202301,,28,35,63
4583,6562,0,Morioka Yusuke,,Arashio,1983-02-12T00:00:00Z,175.0,132.0,200509,2007-03-01T00:00:00Z,37,19,56
4380,5984,0,Shirononami Nobuhiro,,Onoe,1981-07-16T00:00:00Z,173.0,130.9,200403,2011-05-01T00:00:00Z,225,205,430
5160,693,0,Miyakotenzan Kenichi,,Hatachiyama,1979-06-17T00:00:00Z,174.2,116.0,199603,1999-01-01T00:00:00Z,45,60,105
5230,160,0,Tatsuhikari Kumagoro,,Tatsunami,1969-10-25T00:00:00Z,192.0,190.0,198503,1999-03-01T00:00:00Z,391,356,747
8035,5750,0,Morita,,Isegahama,1948-11-18T00:00:00Z,,,196511,1967-01-01T00:00:00Z,9,12,21
4539,6948,0,Takaarashi,,Takanohana,1992-07-17T00:00:00Z,182.0,120.0,200807,2008-11-01T00:00:00Z,3,4,7
3636,487,0,Danyu Kentaro,,Kitanoumi,1981-02-11T00:00:00Z,185.0,136.0,199603,2011-09-01T00:00:00Z,323,321,644
1748,8059,0,Ookada,,Taiho,1956-08-25T00:00:00Z,178.0,85.0,197205,1977-09-01T00:00:00Z,109,108,217
7781,10995,0,Saito,,-,0001-01-01T00:00:00Z,,,195705,1960-01-01T00:00:00Z,30,64,94
1192,5084,0,Moiwadake Yasuhito#,,Taiho,1956-11-28T00:00:00Z,173.0,140.0,197111,1980-05-01T00:00:00Z,181,165,346
7313,5233,0,Kotojishi,,Sadogatake,0001-01-01T00:00:00Z,,,197803,1978-09-01T00:00:00Z,0,0,0
4903,697,0,Onohikari Akihiro,,Onomatsu,1982-03-03T00:00:00Z,181.6,134.0,199703,2001-01-01T00:00:00Z,69,79,148
27,12239,3630,Hokutofuji,Maegashira 13 East,Hakkaku,1991-11-04T15:00:00Z,184.0,161.0,201503,,406,343,749
7090,7342,0,Yakumoryu,,Takadagawa,0001-01-01T00:00:00Z,,,198603,1986-11-01T00:00:00Z,2,2,4
6104,2486,0,Mukohama Kazushi,,Michinoku,1978-02-03T00:00:00Z,185.0,105.0,199303,1993-09-01T00:00:00Z,1,10,11
4738,2922,0,Yamamuro Yudai,,Kokonoe,1987-07-01T00:00:00Z,175.0,85.0,200305,2003-11-01T00:00:00Z,3,4,7
3270,9098,0,Sadanosato Gosuke,,Sakaigawa,1993-01-07T00:00:00Z,175.0,127.0,200803,2019-09-01T00:00:00Z,228,241,469
3153,6530,0,Haruhikari Toshihiro,,Miyagino,1986-07-16T00:00:00Z,169.0,121.0,200503,2020-09-01T00:00:00Z,313,317,630
7013,7556,0,Igoshi,,Onaruto,1967-08-25T00:00:00Z,178.0,115.0,198303,1985-01-01T00:00:00Z,7,7,14
7593,10490,0,Owaki,,-,0001-01-01T00:00:00Z,,,195405,1960-01-01T00:00:00Z,36,52,88
6480,1683,0,Mutsuminato Masaki#,,Ajigawa,1966-12-10T00:00:00Z,180.2,160.0,198203,1989-01-01T00:00:00Z,141,132,273
3474,1168,0,Asayamada Yuki,,Takasago,1985-08-27T00:00:00Z,173.0,110.0,200103,2004-01-01T00:00:00Z,9,15,24
2923,5839,0,Echigonishiki Okihiro,,Tatsunami,1946-11-18T00:00:00Z,,,196507,1967-11-01T00:00:00Z,37,26,63
7308,8147,0,Kato,,Kagamiyama,1962-01-01T00:00:00Z,,,197709,1978-11-01T00:00:00Z,0,1,1
5398,2739,0,Taketora Eiji,,Onomatsu,1979-12-27T00:00:00Z,,,199607,1997-11-01T00:00:00Z,16,26,42
7397,6894,0,Washigatani,,-,0001-01-01T00:00:00Z,,,195503,1961-09-01T00:00:00Z,87,75,162
1713,8122,0,Asano,,Dewanoumi,1961-09-06T00:00:00Z,180.5,97.0,197703,1977-09-01T00:00:00Z,1,14,15
753,7516,0,Hironosato,,Tatsutagawa,1958-04-12T00:00:00Z,170.0,100.0,197505,1984-01-01T00:00:00Z,152,212,364
5283,2655,0,Oyagyu Hisashi,,Onomatsu,1980-01-08T00:00:00Z,174.6,109.5,199503,1998-01-01T00:00:00Z,54,51,105
2121,5472,0,Akashinada,,Dewanoumi,1947-07-09T00:00:00Z,178.0,89.0,196303,1974-09-01T00:00:00Z,234,226,460
3923,256,0,Kotohino Kazuyuki,,Sadogatake,1978-01-16T00:00:00Z,177.0,138.0,199303,2004-03-01T00:00:00Z,239,223,462
733,1492,0,Kusunosato Masatoshi#,,Futagoyama,1963-10-31T00:00:00Z,189.0,139.0,197903,1996-07-01T00:00:00Z,361,360,721
2287,8938,0,Hakutaizan#,,Tokitsukaze,1952-10-16T00:00:00Z,170.0,74.0,197003,1972-05-01T00:00:00Z,40,44,84
8451,11520,0,Tomitahana,,-,0001-01-01T00:00:00Z,,,196203,1965-03-01T00:00:00Z,58,68,126
2004,5213,0,Hachirogata Setsuo,,Hanakago,1952-05-05T00:00:00Z,182.0,84.0,196705,1975-09-01T00:00:00Z,164,157,321
8457,11619,0,Teruwaka,,-,0001-01-01T00:00:00Z,,,196301,1965-01-01T00:00:00Z,32,38,70
4055,380,0,Higo Toshikazu,,Izutsu,1977-06-19T00:00:00Z,181.0,143.0,199303,2011-11-01T00:00:00Z,377,358,735
7142,7806,0,Kotokurosawa,,Sadogatake,0001-01-01T00:00:00Z,,,198411,1985-03-01T00:00:00Z,3,4,7
2076,8262,0,Tatsuwaka,,Tatsunami,1959-04-28T00:00:00Z,,,197403,1975-11-01T00:00:00Z,0,21,21
8342,11055,0,Asanofuji,,Miyagino,1941-01-12T00:00:00Z,,,195803,1962-07-01T00:00:00Z,87,108,195
5458,1615,0,Minatoiwa Naoki#,,Minato,1970-04-04T00:00:00Z,186.0,153.0,198603,1997-03-01T00:00:00Z,230,218,448
5687,2730,0,Kubo Ryu,,Oshima,1980-07-24T00:00:00Z,179.0,75.0,199605,1997-03-01T00:00:00Z,1,6,7
1693,8001,0,Hashimoto,,Oshiogawa,1962-01-27T00:00:00Z,176.0,78.0,197803,1978-09-01T00:00:00Z,7,7,14
1195,1348,0,Jingaku Takashi,,Izutsu,1959-12-24T00:00:00Z,188.0,142.0,197705,1991-09-01T00:00:00Z,499,538,1037
8253,11130,0,Iozan,,Tokitsukaze,1940-01-10T00:00:00Z,,,195809,1963-11-01T00:00:00Z,110,109,219
6189,2361,0,Wakayamaguchi Noriyoshi,,Wakamatsu,1970-11-23T00:00:00Z,181.0,116.0,199205,1992-11-01T00:00:00Z,5,3,8
6205,2183,0,Kumagai Mitsuharu,,Musashigawa,1976-03-17T00:00:00Z,174.0,134.0,199103,1992-01-01T00:00:00Z,13,15,28
3495,1133,0,Asasato Yu,,Takasago,1982-10-21T00:00:00Z,173.0,77.0,200103,2002-11-01T00:00:00Z,23,26,49
7630,10800,0,Ebina,,Izutsu,1939-01-25T00:00:00Z,,,195603,1963-01-01T00:00:00Z,111,113,224
840,4988,0,Naruyama Akihide#,,Dewanoumi,1963-01-22T00:00:00Z,178.0,133.0,197803,1987-05-01T00:00:00Z,196,165,361
2659,5141,0,Ichinoumi Tadashi#,,Dewanoumi,1942-05-12T00:00:00Z,177.0,96.4,195903,1968-09-01T00:00:00Z,200,206,406
6586,4990,0,Ikedayama,,Dewanoumi,1965-10-28T00:00:00Z,178.0,95.0,198111,1988-01-01T00:00:00Z,110,137,247
5178,500,0,Asahio Takeshi,,Oshima,1978-07-04T00:00:00Z,183.0,132.0,199403,1999-09-01T00:00:00Z,83,67,150
5137,267,0,Ryutenzan Kenji,,Hatachiyama,1976-06-11T00:00:00Z,187.0,134.0,199509,1999-05-01T00:00:00Z,81,65,146
5579,1575,0,Kototoyonaga Jiro#,,Sadogatake,1970-11-21T00:00:00Z,181.3,128.0,198603,1994-11-01T00:00:00Z,182,167,349
1394,3928,0,Futatsuryu Tokuyoshi,,Tokitsukaze,1930-03-03T00:00:00Z,185.0,108.0,194706,1961-01-01T00:00:00Z,104,151,255
2164,8867,0,Otakayama,,Dewanoumi,1946-05-27T00:00:00Z,178.0,115.0,196901,1973-03-01T00:00:00Z,92,81,173
6712,7238,0,Horie,,Oshima,0001-01-01T00:00:00Z,,,198605,1991-05-01T00:00:00Z,16,22,38
3406,12079,0,Takenoumi Kosei,,Yamahibiki,1998-01-17T00:00:00Z,182.0,107.4,201303,2017-03-01T00:00:00Z,62,71,133
4950,881,0,Wakashoho Yoshihisa,,Taiho,1980-06-06T00:00:00Z,180.0,102.0,199901,2000-05-01T00:00:00Z,22,20,42
327,6538,2834,Shosei,Jonokuchi 2 West,Sakaigawa,1986-05-27T00:00:00Z,166.0,123.0,200503,,388,371,759
5977,2604,0,Tsuruwakamatsu Tsuyoshi,,Izutsu,1976-10-03T00:00:00Z,178.0,75.0,199405,1994-09-01T00:00:00Z,5,2,7
595,677,1691,Itakozakura,Jonokuchi 9 East,Shikihide,1978-10-02T00:00:00Z,178.0,139.5,199403,,515,734,1249
6930,1263,0,Kotokobayashi Mikio,,Sadogatake,1986-07-12T00:00:00Z,178.0,145.0,200203,2003-01-01T00:00:00Z,0,0,0
1274,6657,0,Kiyonosato Shoichi#,,Tatsutagawa,1956-02-05T00:00:00Z,188.0,89.0,197405,1980-05-01T00:00:00Z,123,129,252
1253,7352,0,Shoryu Akihiro#,,Onaruto,1961-08-16T00:00:00Z,178.0,100.0,198001,1986-09-01T00:00:00Z,107,163,270
6090,2220,0,Kyokushinzan Nobunaga,,Oshima,1975-09-02T00:00:00Z,173.0,99.0,199103,1993-01-01T00:00:00Z,27,38,65
6014,2585,0,Asaogawara Kenichi,,Wakamatsu,1978-07-30T00:00:00Z,175.0,121.0,199403,1994-09-01T00:00:00Z,5,9,14
